Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HORVU.MOREX.r3.2HG0110640,928.211305028401,0.14709726307016388,0.37954516709740754,0.38756194472214794,0.6983402355799748,0.9113079731253234
HORVU.MOREX.r3.2HG0110650,1122.7253917594535,0.09906411364423802,0.3685490858243084,0.26879489721882804,0.7880875203131841,0.9436496839918272
HORVU.MOREX.r3.2HG0110660,33.6469366076193,3.398715336966707,1.8592486899279657,1.8280046964015269,0.06754884681092922,0.2644887098490508
HORVU.MOREX.r3.2HG0110720,655.1894233458153,0.41111742743310686,0.4231006603961001,0.9716775838832898,0.3312109719201233,0.6793127041717276
HORVU.MOREX.r3.2HG0110730,104.27834411895985,-1.0665472075016393,0.835527663100329,-1.2764953868123092,0.20178045652326282,0.5300463674028243
HORVU.MOREX.r3.2HG0110760,10040.754508276552,0.4816455365545241,0.35486230225760723,1.3572744512176453,0.17469402210183027,0.4876376310950038
HORVU.MOREX.r3.2HG0110770,9.271934288352604,-2.2130022801994866,2.4072188440681286,-0.9193191078795221,0.35792868623705787,
HORVU.MOREX.r3.2HG0110780,49.74947359159206,-0.3572875009913499,1.100252297607349,-0.3247323379994944,0.7453836577208726,0.9289271341749007
HORVU.MOREX.r3.2HG0110800,41.91106149474407,-0.9994479426890718,1.17768593801234,-0.8486540515002732,0.39607382091586807,0.7389958351173369
HORVU.MOREX.r3.2HG0110810,36.36235191153315,3.5157810297857766,1.79104877670921,1.9629733570101364,0.049649269927679235,0.21368493407967432
HORVU.MOREX.r3.2HG0110840,233.56759527654364,0.41772697025258565,0.5686690791104597,0.7345695160813295,0.4626017089938179,0.7868706864644015
HORVU.MOREX.r3.2HG0110850,143.00572466382835,3.3984143399525855,0.8236573245978611,4.126005121865228,3.6911904965767335e-05,0.0005468721239254466
HORVU.MOREX.r3.2HG0110860,59.65438537273641,-0.03253830264421685,1.0230979614405018,-0.031803701962619065,0.9746285943920877,0.9943829712747599
HORVU.MOREX.r3.2HG0110920,410.0280390080721,6.255029082097943,0.7907823727551964,7.909924775263448,2.5754446973419287e-15,1.7712276453489017e-13
HORVU.MOREX.r3.2HG0110930,18.666021940462162,3.5537571270955453,2.10299584349454,1.6898545653757835,0.0910557816829967,0.32349579580914983
HORVU.MOREX.r3.2HG0110940,27.6883149417969,4.1436907105045515,1.7402139399389152,2.381138672323245,0.01725921341698784,0.09942639594095166
HORVU.MOREX.r3.2HG0110980,131.70868013926375,0.4210710237013738,0.7316201109948284,0.5755323252785082,0.5649313352397305,0.8462338409516559
HORVU.MOREX.r3.2HG0111000,30.759620952349906,0.24232618780530663,1.4109776835963033,0.171743458895583,0.8636392181384953,0.9664616722599794
HORVU.MOREX.r3.2HG0111040,332.8520298072264,-0.9737709565380726,0.5603459669616688,-1.7378030965728082,0.08224551486707192,0.3025991717284556
HORVU.MOREX.r3.2HG0111060,609.3800036303478,0.2826891033904461,0.41827657012535135,0.675842549119422,0.4991406167827076,0.8112414442950282
HORVU.MOREX.r3.2HG0111100,2546.088024988452,1.1243146526487746,0.36459966510250386,3.083696339470536,0.0020444615604242856,0.018000914283512262
HORVU.MOREX.r3.2HG0111130,155.65162058426657,0.035236197095331746,0.66414638400689,0.053054865529413464,0.9576881928605506,0.9893944607826317
HORVU.MOREX.r3.2HG0111190,189.4262117780094,0.30884908736894273,0.6162443394133877,0.501179593248582,0.616244734770268,0.872252223890973
HORVU.MOREX.r3.2HG0111220,8.283609868519138,1.1495611005902295,2.5508464696120976,0.450658679103114,0.6522355678385603,
HORVU.MOREX.r3.2HG0111240,639.7354391423762,0.061392016680041524,0.460734788033365,0.13324806000018324,0.8939972033073376,0.9764082584690321
HORVU.MOREX.r3.2HG0111250,89.52179568874404,-0.5661402674497603,0.9129908908261734,-0.6200941029515148,0.5351958343807501,0.8319405435932561
HORVU.MOREX.r3.2HG0111270,3.274421321841215,0.7201619499388902,3.9788297612362347,0.18099843249265676,0.8563688063842488,
HORVU.MOREX.r3.2HG0111280,409.6433067614051,5.143673591784985,0.6210051670794393,8.282819313686973,1.2029286768314318e-16,9.307103725558744e-15
HORVU.MOREX.r3.2HG0111290,342.21065948002564,-2.717931590286025,0.5088916454664527,-5.340884674565163,9.249408602502282e-08,2.3491811028118258e-06
HORVU.MOREX.r3.2HG0111350,110.03220485705073,3.1907676425329266,0.8878644839526103,3.5937552410343216,0.0003259460417590875,0.003693370841611898
HORVU.MOREX.r3.2HG0111370,16.762332864870476,1.6641830614304338,2.0157381374445213,0.8255948679624745,0.40903394733652987,0.7491708818510598
HORVU.MOREX.r3.2HG0111410,996.7879744125424,4.437986035579045,0.42440085003807193,10.457062079826006,1.3600752528308237e-25,2.1442997759725212e-23
HORVU.MOREX.r3.2HG0111440,36045.10463861739,-0.9446487255321641,0.33689680969060276,-2.8039705285416767,0.005047751886545578,0.03750912829166283
HORVU.MOREX.r3.2HG0111450,22117.170552111158,-0.8566161872978528,0.3311395106239914,-2.5868739906140035,0.009685100338833656,0.0631743201101306
HORVU.MOREX.r3.2HG0111480,270.73086687823053,1.480280376918399,0.5716785330318498,2.5893579894768037,0.009615507413919425,0.06289407432540957
HORVU.MOREX.r3.2HG0111500,490.71227694557155,3.4870071514563277,0.5050637597349037,6.904092966968324,5.052520484540571e-12,2.371846133079832e-10
HORVU.MOREX.r3.2HG0111520,1567.0456797780832,0.5746843065030464,0.3570727796090044,1.609431856251622,0.1075219442289384,0.3609696126866249
HORVU.MOREX.r3.2HG0111570,56.27195829533463,-1.936643363223898,1.1035666810750424,-1.7548947394255432,0.07927731416173464,0.29553479238699737
HORVU.MOREX.r3.2HG0111580,620.3328382780703,0.2502557077499394,0.42580672050821583,0.5877213667535591,0.5567193314113579,0.8416766298667101
HORVU.MOREX.r3.2HG0111600,2292.7871587446607,-0.29345596901494103,0.32657954807701967,-0.8985742393939904,0.3688794851854714,0.7154272964438014
HORVU.MOREX.r3.2HG0111610,3461.2574832343785,-1.3141083323850016,0.3183853558280659,-4.127414494197543,3.668647758669687e-05,0.000545466559990105
HORVU.MOREX.r3.2HG0111620,4.571022913389314,-6.334624069360673,4.489604532912944,-1.4109536871058537,0.1582582703241422,
HORVU.MOREX.r3.2HG0111640,110.83830953519089,-0.0664279256516173,0.7693876849954268,-0.08633869107485409,0.9311971822626277,0.9835910927437399
HORVU.MOREX.r3.2HG0111650,65.95274168147448,0.5980146443289561,0.9835644220427723,0.6080076006479932,0.5431824328783261,0.8361887268112184
HORVU.MOREX.r3.2HG0111690,99.88786327342434,9.477240807209915,6.07951522759773,1.5588810048847872,0.11902454694372042,0.3862454234129333
HORVU.MOREX.r3.2HG0111710,125.82982495597578,-1.1198524081064698,0.7386523699273434,-1.516075022160455,0.12950038338250242,0.4061956469760474
HORVU.MOREX.r3.2HG0111750,866.5138752591132,0.14593582685573459,0.3889660650696673,0.3751890973563366,0.707519838011162,0.91432659548736
HORVU.MOREX.r3.2HG0111790,98.20144178664883,0.07415893940509624,0.8295425349838864,0.08939739227059255,0.9287660958418056,0.9831848352257081
HORVU.MOREX.r3.2HG0111810,413.99772990466613,0.5407281401274486,0.4687204464630301,1.1536260988992253,0.24865349359650912,0.5935419458945955
